Date,"Close Price"
"2017-12-06 00:00:00",11696.06
"2017-12-06 00:01:00",11671.57
"2017-12-06 00:02:00",11678.93
"2017-12-06 00:03:00",11698.35
"2017-12-06 00:04:00",11700.35
"2017-12-06 00:05:00",11695.03
"2017-12-06 00:06:00",11701.53
"2017-12-06 00:07:00",11700.6
"2017-12-06 00:08:00",11704.73
"2017-12-06 00:09:00",11703.06
"2017-12-06 00:10:00",11704.83
"2017-12-06 00:11:00",11704.74
"2017-12-06 00:12:00",11707.78
"2017-12-06 00:13:00",11709.45
"2017-12-06 00:14:00",11705.19
"2017-12-06 00:15:00",11704.38
"2017-12-06 00:16:00",11707.74
"2017-12-06 00:17:00",11714.26
"2017-12-06 00:18:00",11709.1
"2017-12-06 00:19:00",11710.66
"2017-12-06 00:20:00",11716.29
"2017-12-06 00:21:00",11715.63
"2017-12-06 00:22:00",11718.65
"2017-12-06 00:23:00",11721.28
"2017-12-06 00:24:00",11725.81
"2017-12-06 00:25:00",11732.17
"2017-12-06 00:26:00",11737.33
"2017-12-06 00:27:00",11749.12
"2017-12-06 00:28:00",11761.01
"2017-12-06 00:29:00",11759.78
"2017-12-06 00:30:00",11766.13
"2017-12-06 00:31:00",11766.46
"2017-12-06 00:32:00",11758.79
"2017-12-06 00:33:00",11760.45
"2017-12-06 00:34:00",11765.99
"2017-12-06 00:35:00",11768.07
"2017-12-06 00:36:00",11774.88
"2017-12-06 00:37:00",11779.23
"2017-12-06 00:38:00",11794.94
"2017-12-06 00:39:00",11805.92
"2017-12-06 00:40:00",11813.09
"2017-12-06 00:41:00",11818.06
"2017-12-06 00:42:00",11814.7
"2017-12-06 00:43:00",11798.57
"2017-12-06 00:44:00",11793.44
"2017-12-06 00:45:00",11800.27
"2017-12-06 00:46:00",11806.52
"2017-12-06 00:47:00",11811.7
"2017-12-06 00:48:00",11813.2
"2017-12-06 00:49:00",11814.05
"2017-12-06 00:50:00",11815.86
"2017-12-06 00:51:00",11814.51
"2017-12-06 00:52:00",11812.71
"2017-12-06 00:53:00",11811.6
"2017-12-06 00:54:00",11818.29
"2017-12-06 00:55:00",11831.93
"2017-12-06 00:56:00",11824.39
"2017-12-06 00:57:00",11834.53
"2017-12-06 00:58:00",11832.09
"2017-12-06 00:59:00",11833.64
"2017-12-06 01:00:00",11835.73
"2017-12-06 01:01:00",11827.92
"2017-12-06 01:02:00",11827.44
"2017-12-06 01:03:00",11833.87
"2017-12-06 01:04:00",11845.57
"2017-12-06 01:05:00",11851.76
"2017-12-06 01:06:00",11850.14
"2017-12-06 01:07:00",11846.23
"2017-12-06 01:08:00",11851.78
"2017-12-06 01:09:00",11853.45
"2017-12-06 01:10:00",11855.32
"2017-12-06 01:11:00",11856.82
"2017-12-06 01:12:00",11866.53
"2017-12-06 01:13:00",11871.27
"2017-12-06 01:14:00",11869.1
"2017-12-06 01:15:00",11873.18
"2017-12-06 01:16:00",11870.77
"2017-12-06 01:17:00",11863.89
"2017-12-06 01:18:00",11862.57
"2017-12-06 01:19:00",11859.49
"2017-12-06 01:20:00",11851.29
"2017-12-06 01:21:00",11843.2
"2017-12-06 01:22:00",11853.64
"2017-12-06 01:23:00",11847.03
"2017-12-06 01:24:00",11842.03
"2017-12-06 01:25:00",11842.1
"2017-12-06 01:26:00",11842.37
"2017-12-06 01:27:00",11844.07
"2017-12-06 01:28:00",11845.24
"2017-12-06 01:29:00",11851.61
"2017-12-06 01:30:00",11845.43
"2017-12-06 01:31:00",11838.81
"2017-12-06 01:32:00",11836.73
"2017-12-06 01:33:00",11835.43
"2017-12-06 01:34:00",11838.51
"2017-12-06 01:35:00",11836.08
"2017-12-06 01:36:00",11835.42
"2017-12-06 01:37:00",11838.99
"2017-12-06 01:38:00",11840.31
"2017-12-06 01:39:00",11844.27
"2017-12-06 01:40:00",11847.54
"2017-12-06 01:41:00",11847.02
"2017-12-06 01:42:00",11853.8
"2017-12-06 01:43:00",11872.18
"2017-12-06 01:44:00",11869.82
"2017-12-06 01:45:00",11872.54
"2017-12-06 01:46:00",11862.42
"2017-12-06 01:47:00",11858.41
"2017-12-06 01:48:00",11857.26
"2017-12-06 01:49:00",11857.43
"2017-12-06 01:50:00",11860.17
"2017-12-06 01:51:00",11863.15
"2017-12-06 01:52:00",11864.89
"2017-12-06 01:53:00",11863.07
"2017-12-06 01:54:00",11869.45
"2017-12-06 01:55:00",11874.58
"2017-12-06 01:56:00",11876.08
"2017-12-06 01:57:00",11884.93
"2017-12-06 01:58:00",11901.71
"2017-12-06 01:59:00",11925.68
"2017-12-06 02:00:00",11930.27
"2017-12-06 02:01:00",11922.64
"2017-12-06 02:02:00",11918.7
"2017-12-06 02:03:00",11933.14
"2017-12-06 02:04:00",11940.82
"2017-12-06 02:05:00",11953.65
"2017-12-06 02:06:00",11959.63
"2017-12-06 02:07:00",11962.91
"2017-12-06 02:08:00",11950.01
"2017-12-06 02:09:00",11946.18
"2017-12-06 02:10:00",11952.87
"2017-12-06 02:11:00",11950.86
"2017-12-06 02:12:00",11955.93
"2017-12-06 02:13:00",11960.49
"2017-12-06 02:14:00",11960.39
"2017-12-06 02:15:00",11963.62
"2017-12-06 02:16:00",11975.29
"2017-12-06 02:17:00",11983.2
"2017-12-06 02:18:00",11983.96
"2017-12-06 02:19:00",11987.78
"2017-12-06 02:20:00",11989.4
"2017-12-06 02:21:00",11988.7
"2017-12-06 02:22:00",11993.72
"2017-12-06 02:23:00",12005.54
"2017-12-06 02:24:00",12021.79
"2017-12-06 02:25:00",12040.94
"2017-12-06 02:26:00",12048.83
"2017-12-06 02:27:00",12054.05
"2017-12-06 02:28:00",12056.9
"2017-12-06 02:29:00",12064.79
"2017-12-06 02:30:00",12084.69
"2017-12-06 02:31:00",12100.36
"2017-12-06 02:32:00",12103.32
"2017-12-06 02:33:00",12062.7
"2017-12-06 02:34:00",12059.16
"2017-12-06 02:35:00",12055.23
"2017-12-06 02:36:00",12061.94
"2017-12-06 02:37:00",12060.66
"2017-12-06 02:38:00",12085.97
"2017-12-06 02:39:00",12113.5
"2017-12-06 02:40:00",12123.98
"2017-12-06 02:41:00",12108.63
"2017-12-06 02:42:00",12107.18
"2017-12-06 02:43:00",12118.78
"2017-12-06 02:44:00",12127.71
"2017-12-06 02:45:00",12133.11
"2017-12-06 02:46:00",12128.43
"2017-12-06 02:47:00",12119.88
"2017-12-06 02:48:00",12123.72
"2017-12-06 02:49:00",12123.34
"2017-12-06 02:50:00",12118.2
"2017-12-06 02:51:00",12120.62
"2017-12-06 02:52:00",12122.28
"2017-12-06 02:53:00",12120.57
